"Falls.within","key"
"Avon and Somerset Constabulary",1
"Bedfordshire Police",2
"British Transport Police",3
"Cambridgeshire Constabulary",4
"Cheshire Constabulary",5
"City of London Police",6
"Cleveland Police",7
"Cumbria Constabulary",8
"Derbyshire Constabulary",9
"Devon & Cornwall Police",10
"Dorset Police",11
"Durham Constabulary",12
"Dyfed-Powys Police",13
"Essex Police",14
"Gloucestershire Constabulary",15
"Greater Manchester Police",16
"Gwent Police",17
"Hampshire Constabulary",18
"Surrey Police",19
"Warwickshire Police",20
"West Mercia Police",21
"Staffordshire Police",22
"Kent Police",23
"Hertfordshire Constabulary",24
"Humberside Police",25
"Lancashire Constabulary",26
"Leicestershire Police",27
"Lincolnshire Police",28
"Merseyside Police",29
"Metropolitan Police Service",30
"Norfolk Constabulary",31
"North Wales Police",32
"North Yorkshire Police",33
"Northamptonshire Police",34
"Northumbria Police",35
"Nottinghamshire Police",36
"Police Service of Northern Ireland",37
"South Wales Police",38
"South Yorkshire Police",39
"Suffolk Constabulary",40
"Sussex Police",41
"Thames Valley Police",42
"West Midlands Police",43
"West Yorkshire Police",44
"Wiltshire Police",45
