"Reported.by","key"
"Avon and Somerset Constabulary",1
"Bedfordshire Police",2
"British Transport Police",3
"Cambridgeshire Constabulary",4
"Cheshire Constabulary",5
"City of London Police",6
"Cleveland Police",7
"Cumbria Constabulary",8
"Derbyshire Constabulary",9
"Devon & Cornwall Police",10
"Dorset Police",11
"Durham Constabulary",12
"Dyfed-Powys Police",13
"Essex Police",14
"Gloucestershire Constabulary",15
"Greater Manchester Police",16
"Gwent Police",17
"Hampshire Constabulary",18
"Hertfordshire Constabulary",19
"Humberside Police",20
"Kent Police",21
"Lancashire Constabulary",22
"Leicestershire Police",23
"Lincolnshire Police",24
"Merseyside Police",25
"Metropolitan Police Service",26
"Norfolk Constabulary",27
"North Wales Police",28
"North Yorkshire Police",29
"Northamptonshire Police",30
"Police Service of Northern Ireland",31
"Northumbria Police",32
"Nottinghamshire Police",33
"South Wales Police",34
"South Yorkshire Police",35
"Staffordshire Police",36
"Suffolk Constabulary",37
"Sussex Police",38
"Thames Valley Police",39
"Warwickshire Police",40
"West Mercia Police",41
"West Midlands Police",42
"West Yorkshire Police",43
"Wiltshire Police",44
"Surrey Police",45
